model,dataset,auc,f1_score,accuracy,precision,true_positive,true_negative,false_positive,false_negative
mobilenet_v2,refuge,0.9186149716377259,0.963669391462307,0.9333333333333333,0.9456327985739751,212.2,11.8,12.2,3.8
mobilenet_v2,rimone,0.8914108157157898,0.8522012578616351,0.8061855670103092,0.8390092879256965,54.2,24.0,10.4,8.4
mobilenet_v2,papila,0.7277454257011413,0.8241758241758242,0.7377049180327869,0.759493670886076,60.0,12.0,19.0,6.6
efficientnet_v2s,refuge,0.7046103358268738,0.9477841158402809,0.9008333333333333,0.9007506255212677,216.0,0.2,23.8,0.0
efficientnet_v2m,rimone,0.6804773807525635,0.7844611528822056,0.6453608247422681,0.6453608247422681,62.6,0.0,34.4,0.0
efficientnet_v2l,rimone,0.6508837223052979,0.7844611528822056,0.6453608247422681,0.6453608247422681,62.6,0.0,34.4,0.0
mobilenet_v3large,rimone,0.6365299224853516,0.7844611528822056,0.6453608247422681,0.6453608247422681,62.6,0.0,34.4,0.0
efficientnet_v2l,refuge,0.6290701985359192,0.9473684210526316,0.9,0.9,216.0,0.0,24.0,0.0
mobilenet_v3large,refuge,0.6253472089767456,0.9459815546772068,0.8975000000000001,0.899749373433584,215.4,0.0,24.0,0.6
efficientnet_v2m,refuge,0.6212962985038757,0.9473684210526316,0.9,0.9,216.0,0.0,24.0,0.0
mobilenet_v3small,refuge,0.5972415089607239,0.9473684210526316,0.9,0.9,216.0,0.0,24.0,0.0
efficientnet_v2s,papila,0.5608898520469665,0.8093480934809348,0.6823770491803278,0.6854166666666667,65.8,0.8,30.2,0.8
efficientnet_v2l,papila,0.5363497734069824,0.8112058465286236,0.6823770491803278,0.6823770491803278,66.6,0.0,31.0,0.0
mobilenet_v3large,papila,0.5245130658149719,0.8112058465286236,0.6823770491803278,0.6823770491803278,66.6,0.0,31.0,0.0
efficientnet_v2m,papila,0.5241753101348877,0.8112058465286236,0.6823770491803278,0.6823770491803278,66.6,0.0,31.0,0.0
mobilenet_v3small,rimone,0.5067693829536438,0.7844611528822056,0.6453608247422681,0.6453608247422681,62.6,0.0,34.4,0.0
mobilenet_v3small,g1020,0.505496621131897,0.8302752293577982,0.7098039215686275,0.7098039215686275,144.8,0.0,59.2,0.0
mobilenet_v3large,g1020,0.504011070728302,0.8298850574712645,0.7098039215686274,0.7106299212598426,144.4,0.4,58.8,0.4
mobilenet_v3small,papila,0.5035263538360596,0.8112058465286236,0.6823770491803278,0.6823770491803278,66.6,0.0,31.0,0.0
efficientnet_v2s,rimone,0.5,0.7844611528822056,0.6453608247422681,0.6453608247422681,62.6,0.0,34.4,0.0
efficientnet_v2l,g1020,0.4969244062900543,0.8302752293577982,0.7098039215686275,0.7098039215686275,144.8,0.0,59.2,0.0
efficientnet_v2s,g1020,0.49444079399108887,0.8290993071593533,0.7098039215686275,0.7123015873015873,143.6,1.2,58.0,1.2
mobilenet_v2,g1020,0.4835213840007782,0.7956204379562044,0.6705882352941177,0.7108695652173914,130.8,6.0,53.2,14.0
efficientnet_v2m,g1020,0.4755720257759094,0.8302752293577982,0.7098039215686275,0.7098039215686275,144.8,0.0,59.2,0.0
