model;dataset;auc;f1_score;accuracy;precision;true_positive;true_negative;false_positive;false_negative
mobilenet_v2;rimone;0.9104731798171997;0.8885350318471337;0.8556701030927835;0.8857142857142857;55.8;27.2;7.2;6.8
mobilenet_v2;refuge;0.8849151253700256;0.9561643835616439;0.92;0.9432432432432433;209.4;11.4;12.6;6.6
efficientnet_v2s;refuge;0.8281828761100769;0.9481090589270009;0.9016666666666667;0.9028475711892797;215.6;0.8;23.2;0.4
mobilenet_v2;papila;0.7421499967575074;0.7971014492753623;0.7131147540983607;0.7703081232492996;55.0;14.6;16.4;11.6
mobilenet_v3small;rimone;0.7319538950920105;0.71875;0.5917525773195876;0.6470588235294118;50.6;6.8;27.6;12.0
mobilenet_v3small;refuge;0.7293595671653748;0.9473684210526316;0.9;0.9;216.0;0.0;24.0;0.0
efficientnet_v2l;rimone;0.7159760594367981;0.7782312925170068;0.6639175257731958;0.6777251184834123;57.2;7.2;27.2;5.4
efficientnet_v2m;rimone;0.7057287693023682;0.7844611528822056;0.6453608247422681;0.6453608247422681;62.6;0.0;34.4;0.0
efficientnet_v2l;refuge;0.667939817905426;0.9473684210526316;0.9;0.9;216.0;0.0;24.0;0.0
mobilenet_v3large;rimone;0.6657943964004517;0.7844611528822056;0.6453608247422681;0.6453608247422681;62.6;0.0;34.4;0.0
mobilenet_v3large;refuge;0.6483024835586548;0.9473684210526316;0.9;0.9;216.0;0.0;24.0;0.0
efficientnet_v2m;refuge;0.640875780582428;0.9473684210526316;0.9;0.9;216.0;0.0;24.0;0.0
efficientnet_v2s;rimone;0.6353935122489929;0.7844611528822056;0.6453608247422681;0.6453608247422681;62.6;0.0;34.4;0.0
efficientnet_v2s;papila;0.6135984301567078;0.8;0.6700819672131147;0.6822033898305085;64.4;1.0;30.0;2.2
efficientnet_v2m;papila;0.5946893095970154;0.8112058465286236;0.6823770491803278;0.6823770491803278;66.6;0.0;31.0;0.0
mobilenet_v3small;papila;0.5811995744705201;0.8112058465286236;0.6823770491803278;0.6823770491803278;66.6;0.0;31.0;0.0
mobilenet_v3large;papila;0.5647867858409882;0.8112058465286236;0.6823770491803278;0.6823770491803278;66.6;0.0;31.0;0.0
efficientnet_v2l;papila;0.5463139057159424;0.8112058465286236;0.6823770491803278;0.6823770491803278;66.6;0.0;31.0;0.0
efficientnet_v2s;g1020;0.5130457401275634;0.8327566320645905;0.7156862745098039;0.7148514851485149;144.4;1.6;57.6;0.4
mobilenet_v3small;g1020;0.5036214530467987;0.8302752293577982;0.7098039215686275;0.7098039215686275;144.8;0.0;59.2;0.0
mobilenet_v3large;g1020;0.5024072289466858;0.8302752293577982;0.7098039215686275;0.7098039215686275;144.8;0.0;59.2;0.0
efficientnet_v2l;g1020;0.5014560401439667;0.8302752293577982;0.7098039215686275;0.7098039215686275;144.8;0.0;59.2;0.0
efficientnet_v2m;g1020;0.48872403502464296;0.8302752293577982;0.7098039215686275;0.7098039215686275;144.8;0.0;59.2;0.0
mobilenet_v2;g1020;0.4542915463447571;0.7690371302706105;0.6401960784313726;0.7063583815028902;122.2;8.4;50.8;22.6
